Kontonr.,Kontonavn,Moms,Type
1139,Salg af ydelser til 3. lande,UVC,D
1140,Salg af fragt,,D
1141,Provision eksport,,D
1142,Rabat eksport,,D
1143,Kontantrabat eksport,,D
1144,"Modkonto fragt, rabatter og provision",,D
1155,"Valutakursgevinster, eksport",,D
1156,"Valutakurstab, eksport",,D
1157,"Nettomsætning 3, udland i alt",,SumFra4
1158,Nettomsætning 3 i alt,,SumFra3
1170,Omsætning biydelser mv.,,Overskrift3
1171,"Rykkergebyrer, indtægter",,D
1172,Administrationsgebyr,U25,D
1173,Betalingskortgebyr,U25,D
1174,Kassedifferencer indtægt,U25,D
1175,Salg af varer til tilknyttede virksomheder,U25,D
1189,Omsætning biydelser mv. i alt,,SumFra3
1190,Balancereguleringer,,Overskrift3
1191,Regulering gangværende arbejder salgsværdi,,D
1192,Regulering  forudfaktureret/forudbetalt,,D
1193,Regulering varedebitorer,,D
1194,Arbejde udført for egen regning og opført under aktiver,,D
1195,Besætningsforskydning,,D
1196,Konjunkturændringer besætninger,,D
1199,Balancereguleringer i alt,,SumFra3
1200,Indtægter udlejningsejendomme,,Overskrift3
1202,Huslejeindtægter u/moms ejendom,,D
1203,Huslejeindtægter,U25,D
1204,Grundejernes Investeringsfond Vareforbrug,,D
1206,"Varme u/moms, indtægter",,D
1207,Varme Vareforbrug,U25,D
1208,"Elektricitet u/moms, indtægter",,D
1209,Elektricitet Vareforbrug,U25,D
1210,Vand  u/moms,,D
1211,Vand Vareforbrug,U25,D
1212,"Antenne u/moms, indtægter",,D
1213,"Antenne, indtægter",U25,D
1214,Vask u/moms,,D
1215,Vask,U25,D
1216,Fællesudgifter u/moms,,D
1217,Fællesudgifter,U25,D
1218,Deposita u/moms,,D
1219,Deposita Vareforbrug,U25,D
1220,Erstatninger u/moms Vareforbrug,,D
1221,Erstatninger Vareforbrug,U25,D
1299,Indtægter udlejningsejendomme i alt,,SumFra3
1300,Vareforbrug,,Overskrift2
1301,Vareforbrug ,,Overskrift3
1302,Vareindkøb ,,Overskrift4
1303,Varekøb,I25,D
1304,"Varekøb, DK omvendt betalingspligt",OBPK,D
1305,Hjælpematerialer,I25,D
1306,Varekøb u/moms,,D
1307,EU-erhvervelser varer,IEUV,D
1308,Varekøb 3. lande,IVV,D
1309,Told mv.,,D
1310,Importmoms fra importspecifikation,IMPO,D
1311,Modkonto importmoms fra Importspecifikation,,D
1312,EU-erhvervelser ydelser,IEUY,D
1313,Ydelseskøb 3. lande,IVY,D
1315,Varekøb fra tilknyttede virksomheder,I25,D
1316,Varekøb fra tilknyttede virksomheder u/moms,,D
1317,Varekøb fra associerede virksomheder,I25,D
1318,Varekøb fra associerede virksomheder u/moms,,D
1319,Fragt o.a. hjemtagelsesomkostninger m/moms,I25,D
1320,Fragt o.a. hjemtagelsesomkostninger u/moms,,D
1321,Fragt o.a. hjemtagelsesomkostninger EU,IEUV,D
1322,Fragt o.a. hjemtagelsesomkostninger udlandet,IVV,D
1323,Emballage,I25,D
1324,Emballage u/moms,,D
1325,Provision,I25,D
1326,Provision u/moms,,D
1327,Kontantrabatter,I25,D
1328,Kontantrabatter u/moms,,D
1329,Andre rabatter,I25,D
1330,Andre rabatter u/moms,,D
1331,Reduktioner,I25,D
1332,Erstatninger,I25,D
1333,Erstatninger u/moms,,D
1334,Periodisering,,D
1335,Defekte varer,,D
1336,Køb af ydelser,I25,D
1337,Varekøb 3,I25,D
1338,Varekøb 4,I25,D
1339,Varekøb 5,I25,D
1340,Varekøb 6,I25,D
1341,Varekøb 7,I25,D
1342,Varekøb 8,I25,D
1343,Varekøb u/moms 2,,D
1344,Varekøb u/moms 3,,D
1345,EU-erhvervelser varer 2,IEUV,D
1346,EU-erhvervelser varer 3,IEUV,D
1347,Varekøb 3. lande 2,IVV,D
1348,Varekøb 3. lande 3,IVV,D
1349,Hjælpematerialer 2,I25,D
1350,Hjælpematerialer 3,I25,D
1351,Hjælpematerialer 4,I25,D
1352,"Køb, brugtmoms",,D
1357,"Forbrug egne varer, privat",I25,D
1358,"Forbrug egne varer, repræsentation",I25,D
1359,Vareindkøb i alt ,,SumFra4
1360,Fremmed arbejde ,,Overskrift4
1361,Fremmed arbejde,I25,D
1362,Fremmed arbejde u/moms,,D
1363,Fremmed arbejde EU,IEUY,D
1364,Fremmed arbejde 3. lande,IVY,D
1365,Reduktioner,I25,D
1366,Periodisering,,D
1370,Maskinstation,I25,D
1371,Fremmed arbejde,I25,D
1372,Fremmed arbejde,I25,D
1373,Fremmed arbejde,I25,D
1374,Fremmed arbejde,I25,D
1375,Fremmed arbejde,I25,D
1379,Fremmed arbejde i alt ,,SumFra4
1380,Kraftforbrug mv. og hjælpematerialer ,,Overskrift4
1381,Elektricitet,I25,D
1382,Refunderet elafgift,,D
1383,Refunderet CO2-afgift,,D
1384,Elforbrug private andele Vareforbrug,I25,D
1385,Olie,I25,D
1386,Olie refunderede afgifter,,D
1387,Olie private andele,I25,D
1388,Gas,I25,D
1389,"Refunderet energiafgift, gas",,D
1390,"Refunderet CO2-afgift, gas",,D
1391,Kul mv.,I25,D
1392,"Refunderet energiafgift, mv.",,D
1393,Refunderet CO2-afgift mv.,,D
1394,Vand,I25,D
1395,Refunderet vandafgift,,D
1396,Vand private andele Vareforbrug,I25,D
1397,Hjælpematerialer mv.,I25,D
1419,Kraftforbrug mv. og hjælpematerialer i alt ,,SumFra4
1420,Maskiner og værktøj ,,Overskrift4
1421,Reparation og vedligeholdelse Vareforbrug,I25,D
1422,Reparation og vedligeholdelse u/moms Vareforbrug,,D
1423,Leje og operationel leasing,I25,D
1424,Leje og operationel leasing u/moms,,D
1425,Finansiel leasing,I25,D
1426,Finansiel leasing u/moms,,D
1427,"Småanskaffelser, maskiner og værktøj",I25,D
1428,"Småanskaffelser, maskiner og værktøj u/skattemæssig grænse",I25,D
1429,"Småanskaffelser, maskiner og værktøj u/moms",,D
1430,"Småanskaffelser, maskiner og værktøj u/skattemæssig grænse u/moms",,D
1431,"Småanskaffelser, maskiner og værktøj, DK omvendt betalingspligt",OBPK,D
1432,"Småanskaffelser, maskiner og værktøj u/skattemæssig grænse, DK omvendt betalingspligt",OBPK,D
1433,"Småanskaffelser, maskiner og værktøj, EU-erhvervelser",IEUV,D
1434,"Småanskaffelser, maskiner og værktøj, u/skattemæssig grænse, EU-erhvervelser",IEUV,D
1435,"Småanskaffelser, maskiner og værktøj u/skattemæssig grænse",IEUV,D
1436,"Småanskaffelser, maskiner og værktøj, varekøb 3. lande",IVV,D
1437,"Småanskaffelser, maskiner og værktøj, varekøb 3. lande o/skattemæssig grænse",IVV,D
1442,Regulering IPO varer under fremstilling,,D
1443,Ændring i lagre af færdigvarer og varer under fremstilling,,D
1449,Maskiner og værktøj i alt ,,SumFra4
1450,Øvrige stykomkostninger ,,Overskrift4
1451,Maskinforsikring,,D
1452,Provision,I25,D
1453,Provision u/moms,,D
1454,Forsendelse varesalg,I25,D
1455,Forsendelse varesalg u/moms,,D
1487,"Valutakursgevinster, import",,D
1488,"Valutakurrtab, import",,D
1489,Øvrige stykomkostninger i alt ,,SumFra4
1490,Reguleringer i balancen ,,Overskrift4
1491,Regulering varelager,,D
1492,Regulering råvarer og hjælpematerialer,,D
1493,Regulering varer under fremstilling,,D
1494,Regulering fremstillede varer og handelsvarer,,D
1495,Regulering igangværende arbejder for fremmed regning,,D
1496,Nedskrivning besætning primo,,D
1497,Nedskrivning besætning ultimo,,D
1498,Reguleringer i balancen i alt ,,SumFra4
1499,Vareforbrug i alt ,,SumFra3
1501,Vareforbrug 2 ,,Overskrift3
1502,Vareindkøb mv. 2 ,,Overskrift4
1503,Varekøb,I25,D
1504,"Varekøb, DK omvendt betalingspligt",OBPK,D
1505,Hjælpematerialer,I25,D
1506,Varekøb u/moms,,D
1507,EU-erhvervelser varer,IEUV,D
1508,Varekøb 3. lande,IVV,D
1509,Told mv.,,D
1510,Importmoms fra importspecifikation,IMPO,D
1511,Modkonto importmoms fra Importspecifikation,,D
1512,EU-erhvervelser ydelser,IEUY,D
1513,Ydelseskøb 3. lande,IVY,D
1515,Varekøb fra tilknyttede virksomheder,I25,D
1516,Varekøb fra tilknyttede virksomheder u/moms,,D
1517,Varekøb fra associerede virksomheder,I25,D
1518,Varekøb fra associerede virksomheder u/moms,,D
1519,Fragt o.a. hjemtagelsesomkostninger m/moms,I25,D
1520,Fragt o.a. hjemtagelsesomkostninger u/moms,,D
1521,Fragt o.a. hjemtagelsesomkostninger EU,I25,D
1522,Fragt o.a. hjemtagelsesomkostninger udlandet,,D
1523,Emballage,I25,D
1524,Emballage u/moms,,D
1525,Provision,I25,D
1526,Provision u/moms,,D
1527,Kontantrabatter,I25,D
1528,Kontantrabatter u/moms,,D
1529,Andre rabatter,I25,D
1530,Andre rabatter u/moms,,D
1531,Reduktioner,I25,D
1532,Erstatninger,I25,D
1533,Erstatninger u/moms,,D
1534,Periodisering,,D
1535,Defekte varer,,D
1536,Køb af ydelser,I25,D
1537,Varekøb 3,I25,D
1538,Varekøb 4,I25,D
1539,Varekøb 5,I25,D
1540,Varekøb 6,I25,D
1541,Varekøb 7,I25,D
1542,Varekøb 8,I25,D
1543,Varekøb u/moms 2,,D
1544,Varekøb u/moms 3,,D
1545,EU-erhvervelser varer 2,IEUV,D
1546,EU-erhvervelser varer 3,IEUV,D
1547,Varekøb 3. lande 2,IVV,D
1548,Varekøb 3. lande 3,IVV,D
1549,Hjælpematerialer 2,I25,D
1550,Hjælpematerialer 3,I25,D
1551,Hjælpematerialer 4,I25,D
1557,"Forbrug egne varer, privat",I25,D
1558,"Forbrug egne varer, repræsentation",I25,D
1559,Vareindkøb mv. 2 i alt ,,SumFra4
1560,Fremmed arbejde  2 ,,Overskrift4
1561,Fremmed arbejde,I25,D
1562,Fremmed arbejde u/moms,,D
1563,Fremmed arbejde EU,IEUY,D
1564,Fremmed arbejde 3. lande,IVY,D
1565,Reduktioner,I25,D
1566,Periodisering,,D
1579,Fremmed arbejde  2 i alt ,,SumFra4
1580,Kraftforbrug mv. og hjælpematerialer 2 ,,Overskrift4
1581,Elektricitet,I25,D
1582,Refunderet elafgift,,D
1583,Refunderet CO2-afgift,,D
1584,Elforbrug private andele,I25,D
1585,Olie,I25,D
1586,Olie refunderede afgifter,,D
1587,Olie private andele,I25,D
1588,Gas,I25,D
1589,"Refunderet energiafgift, gas",,D
1590,"Refunderet CO2-afgift, gas",,D
1591,Kul mv.,I25,D
1592,"Refunderet energiafgift, mv.",,D
1593,Refunderet CO2-afgift mv.,,D
1594,Vand,I25,D
1595,Refunderet vandafgift,,D
1596,Vand private andele,I25,D
1597,Hjælpematerialer mv.,I25,D
1619,Kraftforbrug mv. og hjælpematerialer 2 i alt ,,SumFra4
1620,Maskiner og værktøj 2 ,,Overskrift4
1621,Reparation og vedligeholdelse,I25,D
1622,Reparation og vedligeholdelse u/moms,,D
1623,Leje og operationel leasing,I25,D
1624,Leje og operationel leasing u/moms,,D
1625,Finansiel leasing,I25,D
1626,Finansiel leasing u/moms,,D
1627,"Småanskaffelser, maskiner og værktøj",I25,D
1628,"Småanskaffelser, maskiner og værktøj u/skattemæssig grænse",I25,D
1629,"Småanskaffelser, maskiner og værktøj u/moms",,D
1630,"Småanskaffelser, maskiner og værktøj u/skattemæssig grænse u/moms",,D
1631,"Småanskaffelser, maskiner og værktøj, DK omvendt betalingspligt",OBPK,D
1632,"Småanskaffelser, maskiner og værktøj u/skattemæssig grænse, DK omvendt betalingspligt",OBPK,D
1633,"Småanskaffelser, maskiner og værktøj, EU-erhvervelser",IEUV,D
1634,"Småanskaffelser, maskiner og værktøj, u/skattemæssig grænse, EU-erhvervelser",IEUV,D
1635,"Småanskaffelser, maskiner og værktøj u/skattemæssig grænse",IEUV,D
1636,"Småanskaffelser, maskiner og værktøj, varekøb 3. lande",IVV,D
1637,"Småanskaffelser, maskiner og værktøj, varekøb 3. lande o/skattemæssig grænse",IVV,D
1642,Regulering IPO varer under fremstilling,,D
1643,Ændring i lagre af færdigvarer og varer under fremstilling,,D
1649,Maskiner og værktøj 2 i alt ,,SumFra4
1650,Øvrige stykomkostninger 2 ,,Overskrift4
1651,Maskinforsikring,,D
1652,Provision,I25,D
1653,Provision u/moms,,D
1654,Forsendelse varesalg,I25,D
1655,Forsendelse varesalg u/moms,,D
1687,"Valutakursgevinster, import",,D
1688,"Valutakurrtab, import",,D
1689,Øvrige stykomkostninger 2 i alt ,,SumFra4
1690,Reguleringer i balancen 2 ,,Overskrift4
1691,Regulering varelager,,D
1692,Regulering råvarer og hjælpematerialer,,D
1693,Regulering varer under fremstilling,,D
1694,Regulering fremstillede varer og handelsvarer,,D
1695,Regulering igangværende arbejder for fremmed regning,,D
1698,Reguleringer i balancen 2 i alt ,,SumFra4
1699,Vareforbrug 2 i alt ,,SumFra3
1701,Vareforbrug 3 ,,Overskrift3
1702,Vareindkøb mv. 3 ,,Overskrift4
1703,Varekøb,I25,D
1704,"Varekøb, DK omvendt betalingspligt",OBPK,D
1705,Hjælpematerialer,I25,D
1706,Varekøb u/moms,,D
1707,EU-erhvervelser varer,IEUV,D
1708,Varekøb 3. lande,IVV,D
1709,Told mv.,,D
1710,Importmoms fra importspecifikation,IMPO,D
1711,Modkonto importmoms fra Importspecifikation,,D
1712,EU-erhvervelser ydelser,IEUY,D
1713,Ydelseskøb 3. lande,IVY,D
1715,Varekøb fra tilknyttede virksomheder,I25,D
1716,Varekøb fra tilknyttede virksomheder u/moms,,D
1717,Varekøb fra associerede virksomheder,I25,D
1718,Varekøb fra associerede virksomheder u/moms,,D
1719,Fragt o.a. hjemtagelsesomkostninger m/moms,I25,D
1720,Fragt o.a. hjemtagelsesomkostninger u/moms,,D
1721,Fragt o.a. hjemtagelsesomkostninger EU,I25,D
1722,Fragt o.a. hjemtagelsesomkostninger udlandet,,D
1723,Emballage,I25,D
1724,Emballage u/moms,,D
1725,Provision,I25,D
1726,Provision u/moms,,D
1727,Kontantrabatter,I25,D
1728,Kontantrabatter u/moms,,D
1729,Andre rabatter,I25,D
1730,Andre rabatter u/moms,,D
1731,Reduktioner,I25,D
1732,Erstatninger,I25,D
1733,Erstatninger u/moms,,D
1734,Periodisering,,D
1735,Defekte varer,,D
1736,Køb af ydelser,I25,D
1737,Varekøb 3,I25,D
1738,Varekøb 4,I25,D
1739,Varekøb 5,I25,D
1740,Varekøb 6,I25,D
1741,Varekøb 7,I25,D
1742,Varekøb 8,I25,D
1743,Varekøb u/moms 2,,D
1744,Varekøb u/moms 3,,D
1745,EU-erhvervelser varer 2,IEUV,D
1746,EU-erhvervelser varer 3,IEUV,D
1747,Varekøb 3. lande 2,IVV,D
1748,Varekøb 3. lande 3,IVV,D
1749,Hjælpematerialer 2,I25,D
1750,Hjælpematerialer 3,I25,D
1751,Hjælpematerialer 4,I25,D
1757,"Forbrug egne varer, privat",I25,D
1758,"Forbrug egne varer, repræsentation",I25,D
1759,Vareindkøb mv. 3 i alt ,,SumFra4
1760,Fremmed arbejde  3 ,,Overskrift4
1761,Fremmed arbejde,I25,D
1762,Fremmed arbejde u/moms,,D
1763,Fremmed arbejde EU,IEUY,D
1764,Fremmed arbejde 3. lande,IVY,D
1765,Reduktioner,I25,D
1766,Periodisering,,D
1779,Fremmed arbejde  3 i alt ,,SumFra4
1780,Kraftforbrug mv. og hjælpematerialer 3 ,,Overskrift4
1781,Elektricitet,I25,D
1782,Refunderet elafgift,,D
1783,Refunderet CO2-afgift,,D
1784,Elforbrug private andele,I25,D
1785,Olie,I25,D
1786,Olie refunderede afgifter,,D
1787,Olie private andele,I25,D
1788,Gas,I25,D
1789,"Refunderet energiafgift, gas",,D
1790,"Refunderet CO2-afgift, gas",,D
1791,Kul mv.,I25,D
1792,"Refunderet energiafgift, mv.",,D
1793,Refunderet CO2-afgift mv.,,D
1794,Vand,I25,D
1795,Refunderet vandafgift,,D
1796,Vand private andele,I25,D
1797,Hjælpematerialer mv.,I25,D
1819,Kraftforbrug mv. og hjælpematerialer 3 i alt ,,SumFra4
1820,Maskiner og værktøj 3 ,,Overskrift4
1821,Reparation og vedligeholdelse,I25,D
1822,Reparation og vedligeholdelse u/moms,,D
1823,Leje og operationel leasing,I25,D
1824,Leje og operationel leasing u/moms,,D
1825,Finansiel leasing,I25,D
1826,Finansiel leasing u/moms,,D
1827,"Småanskaffelser, maskiner og værktøj",I25,D
1828,"Småanskaffelser, maskiner og værktøj u/skattemæssig grænse",I25,D
1829,"Småanskaffelser, maskiner og værktøj u/moms",,D
1830,"Småanskaffelser, maskiner og værktøj u/skattemæssig grænse u/moms",,D
1831,"Småanskaffelser, maskiner og værktøj, DK omvendt betalingspligt",OBPK,D
1832,"Småanskaffelser, maskiner og værktøj u/skattemæssig grænse, DK omvendt betalingspligt",OBPK,D
1833,"Småanskaffelser, maskiner og værktøj, EU-erhvervelser",IEUV,D
1834,"Småanskaffelser, maskiner og værktøj, u/skattemæssig grænse, EU-erhvervelser",IEUV,D
1835,"Småanskaffelser, maskiner og værktøj u/skattemæssig grænse",IEUV,D
1836,"Småanskaffelser, maskiner og værktøj, varekøb 3. lande",IVV,D
1837,"Småanskaffelser, maskiner og værktøj, varekøb 3. lande o/skattemæssig grænse",IVV,D
1842,Regulering IPO varer under fremstilling,,D
1843,Ændring i lagre af færdigvarer og varer under fremstilling,,D
1849,Maskiner og værktøj 3 i alt ,,SumFra4
1850,Øvrige stykomkostninger 3 ,,Overskrift4
1851,Maskinforsikring,,D
1852,Provision,I25,D
1853,Provision u/moms,,D
1854,Forsendelse varesalg,I25,D
1855,Forsendelse varesalg u/moms,,D
1887,"Valutakursgevinster, import",,D
1888,"Valutakurrtab, import",,D
1889,Øvrige stykomkostninger 3 i alt ,,SumFra4
1890,Reguleringer i balancen 3 ,,Overskrift4
1891,Regulering varelager,,D
1892,Regulering råvarer og hjælpematerialer,,D
1893,Regulering varer under fremstilling,,D
1894,Regulering fremstillede varer og handelsvarer,,D
1895,Regulering igangværende arbejder for fremmed regning,,D
1898,Reguleringer i balancen 3 i alt ,,SumFra4
1899,Vareforbrug 3 i alt ,,SumFra3
1900,Omkostninger udlejningsejendomme,,Overskrift3
1901,Ejendomsskat Udlejningsejendomme,,D
1902,Grundejernes Investeringsfond  Udlejningsejendomme,,D
1903,Ejendomsforsikring Udlejningsejendomme,,D
1904,Renovation Udlejningsejendomme,I25,D
1905,Renovation u/moms Udlejningsejendomme,,D
1906,Vedligeholdelse Udlejningsejendomme,I25,D
1907,Vedligeholdelse u/moms Udlejningsejendomme,,D
1908,Varme  Udlejningsejendomme,I25,D
1909,Varme u/moms Udlejningsejendomme,,D
1910,Elektricitet Udlejningsejendomme,I25,D
1911,Elektricitet u/moms Udlejningsejendomme,,D
1912,Vand Udlejningsejendomme,I25,D
1913,Vand u/moms Udlejningsejendomme,,D
1914,Antenne Udlejningsejendomme,I25,D
1915,Antenne u/moms Udlejningsejendomme,,D
1916,Øvrige driftsudgifter Udlejningsejendomme,I25,D
1917,Øvrige driftsudgifter u/moms Udlejningsejendomme,,D
1999,Omkostninger udlejningsejendomme i alt,,SumFra3
2000,Øvrigt vareforbrug,,Overskrift3
2001,Garantiprovision,,D
2002,Garantiprovision u/skattemæssigt fradrag,,D
2999,Vareforbrug i alt,,SumFra3
3000,Produktionsløn,,Overskrift2
3001,"Lønninger, produktion",,Overskrift3
3002,Bidragspligtig A-indkomst (AM-grundlag),,D
3003,Bidragsfri A-indkomst,,D
3004,Bidragspligtig B-indkomst (AM-grundlag),,D
3005,Bidragsfri B-indkomst,,D
3006,Feriepenge (AM-grundlag),,D
3007,Jubilæumsgratiale og fratrædelsesgodtgørelser mv.,,D
3008,"Sundhedsforsikring, tilbageført",,D
3009,"Gruppeliv, tilbageført",,D
3010,"Fri bil, tilbageført",,D
3011,"Fri telefon, tilbageført",,D
3012,"Fri bolig, tilbageført",,D
3013,"Andre personalegoder, tilbageført",,D
3014,"ATP, medarbejderdel",,D
3015,"Arbejdsmarkedspension, medarbejderdel",,D
3016,"Anden pension, medarbejderdel",,D
3020,Regulering beregnet skyldig løn,,D
3021,Regulering ubeskattede SH,,D
3022,Regulering feriepengeforpligtelse,,D
3038,"Overført fra Løn, gager og honorarer",,D
3039,"Lønninger, produktion i alt",,SumFra3
3040,"Pensioner, produktion",,Overskrift3
3041,"Arbejdsmarkedspension, arbejdsgiverdel",,D
3042,"Anden pension, arbejdsgiverdel",,D
3043,Pension til fratrådte medarbejdere,,D
3048,Overført til produktionslønninger,,D
3049,"Pensioner, produktion i alt",,SumFra3
3050,"Andre omkostninger til social sikring, produktion",,Overskrift3
3051,Arbejdsskadeforsikring,,D
3052,Erhvervsansvarsforsikring,,D
3053,Sygedagpengeforsikring,,D
3054,Gruppelivsforsikring,,D
3055,Sundhedsforsikring,,D
3056,Øvrige personaleforsikringer,,D
3057,Sundhedsomkostninger,,D
3058,"ATP-bidrag, arbejdsgiverdel",,D
3059,Arbejdsgivernes Uddannelsesbidrag (AUB),,D
3060,Arbejdsmarkedets Erhvervssikring (AES),,D
3061,Barsel.dk,,D
3062,Finansieringsbidrag (FIB),,D
3063,Arbejdsmarkedets Fond for Udstationerede (AFU),,D
3064,Andre sociale omkostninger,,D
3088,"Overført fra Løn, gager og honorarer",,D
3089,"Andre omkostninger til social sikring, produktion i alt",,SumFra3
3090,"Reduktioner, produktion",,Overskrift3
3091,Refunderede syge- og barselsdagpenge,,D
3092,Løntilskud,,D
3093,Tilskud AER,,D
3094,Godtgørelse ATP,,D
3095,Elevrefusion,,D
3097,"Overført fra Løn, gager og honorarer",,D
3098,"Reduktioner, produktion i alt",,SumFra3
3099,Produktionsløn i alt,,SumFra2
3100,Administrativ løn,,Overskrift2
3101,"Løn, gager og honorarer, administration",,Overskrift3
3102,Bidragspligtig A-indkomst (AM-grundlag),,D
3103,Bidragsfri A-indkomst,,D
3104,Bidragspligtig B-indkomst (AM-grundlag),,D
3105,Bidragsfri B-indkomst,,D
3106,Feriepenge (AM-grundlag),,D
3107,Jubilæumsgratiale og fratrædelsesgodtgørelser mv.,,D
3108,"Sundhedsforsikring, tilbageført",,D
3109,"Gruppeliv, tilbageført",,D
3110,"Fri bil, tilbageført",,D
3111,"Fri telefon, tilbageført",,D
3112,"Fri bolig, tilbageført",,D
3113,"Andre personalegoder, tilbageført",,D
3114,"ATP, medarbejderdel",,D
3115,"Arbejdsmarkedspension, medarbejderdel",,D
3116,"Anden pension, medarbejderdel",,D
3117,Overført til bestyrelse og direktion,,D
3118,Bestyrelse,,D
3119,Direktion,,D
3120,Regulering beregnet skyldig løn,,D
3121,Regulering ubeskattede SH,,D
3122,Regulering feriepengeforpligtelse,,D
3123,Regulering feriepengeforpligtelse direktion,,D
3124,Regulering feriepengeforpligtelse bestyrelse,,D
3125,Feriefond,,D
3137,Vendekonto løn,,D
3138,Overført til produktionslønninger,,D
3139,"Løn, gager og honorarer, administration i alt",,SumFra3
3140,"Pensioner, administration",,Overskrift3
3141,"Arbejdsmarkedspension, arbejdsgiverdel",,D
3142,"Anden pension, arbejdsgiverdel",,D
3143,Pension til fratrådte medarbejdere,,D
3148,Overført til produktionslønninger,,D
3149,"Pensioner, administration i alt",,SumFra3
3150,"Andre omkostninger til social sikring, administration",,Overskrift3
