Kontonr.,Kontonavn,Moms,Type
5821,Bankkonto 2,,A
5990,AKTIVER I ALT,,SUM
6100,EGENKAPITAL,,Overskrift
6110,"Kapitalkonto, primo",,P
6112,Periodens resultat,,P
6113,Ikke-fradragsberettigede omkostninger,,P
6114,Kapitalbevægelser,,P
6120,"Årets indskud, kontant",,P
6130,"Årets hævninger, kontant",,P
6131,"Årets hævninger, øvrige",,P
6132,Fri telefon,,P
6133,Fri bil,,P
6134,Privat andel af biludgifter (blandet benyttelse),,P
6135,Mellemregning,,P
6136,Eget vareforbrug,,P
6137,Andre private andele,,P
6138,Betalte B-skatter,,P
6139,Udgifter papegøjeplader (momsfradrag),I25,P
6199,EGENKAPITAL I ALT,,SUM
6600,GÆLDSFORPLIGTELSER,,Overskrift
6611,Skattekonto,,P
6750,Kassekredit,,P
6800,Kreditorer,,P
6830,Skyldige omkostninger,,P
6831,Skyldig revisor,,P
6835,Skyldige medarbejderudlæg,,P
6901,"Skyldig moms, primo",,P
6902,Udgående (salg) moms,,P
6903,Indgående (køb) moms,,P
6906,Erhvervelsesmoms (køb i udland),,P
6907,Erhvervelsesmoms (modkonto),,P
6910,Olieafgift,,P
6911,Elafgift,,P
6912,Gasafgift,,P
6914,CO2-afgift,,P
6915,Vandafgift,,P
6916,Omposteret til tilgodehavende moms,,P
6917,Betalt moms,,P
6920,Skyldig A-skat,,P
6921,Skyldig ATP,,P
6922,Skyldig pension,,P
6923,Skyldige feriepenge & SH,,P
6924,Skyldig DA-barsel,,P
6925,Skyldig sociale bidrag,,P
6930,Skyldig AM-bidrag,,P
6940,Skyldige lønninger,,P
6945,Andre skyldige løn poster,,P
6946,Hensat feriepengeforpligtelse,,P
6947,Anden gæld,,P
6948,Vendekonto bank,,P
6949,Vendekonto 2,,P
6950,Vendekonto skattekonto,,P
7999,GÆLDSFORPLIGTELSER I ALT,,SUM
8999,PASSIVER I ALT,,SUM
9900,Analyse/fejlkonto,,P
