Kontonr.,Kontonavn,Moms,Type
4160,"Mad i virksomheden til forretningsforbindelser, delvis fradrag",I25,D
4180,"Repræsentation, gaver og blomster, delvis fradrag",,D
4200,Anden fradragsberettiget repræsentation med moms,I25,D
4220,"Repræsentation, diverse",,D
4221,Modkonto ej fradrag for repræsentationsomkostninger,,D
4240,Øvrige personaleomkostninger,I25,D
4241,Øvrige personaleomkostninger u/momsfradrag,,D
4260,Ej fradragsberettiget andel,,D
5000,Husleje,I25,D
5010,Husleje uden moms,,D
5020,"El, vand, varme mv.",I25,D
5040,Elafgift,,D
5045,Vandafgift,,D
5060,Rengøring og dekoration,I25,D
5080,Reparation og vedligeholdelse,I25,D
5100,Ejendomsskat,,D
5120,Ejendomsforsikring,,D
5140,Mødelokaler,I25,D
5160,Dekoration,I25,D
5161,Lokaleomkostninger u/moms,,D
5170,Fradrag for lagerlokale eget hjem,I25,D
5171,Forsikringer (lokale),,D
6000,Billeje (gulplade),I25,D
6020,Brændstof (gulplade),I25,D
6021,Brændstof (hvidplade),,D
6040,Vedligeholdelse af bil (gulplade),I25,D
6041,Vedligeholdelse af bil u. moms (gulplade),,D
6042,Vedligeholdelse af bil (hvidplade),,D
6060,Vægtafgift og forsikringer,,D
6061,Vægtafgift og forsikringer,,D
6080,Parkering (gulplade),I25,D
6085,Parkering uden moms,,D
6086,Broafgift og færge (hvidpladebiler),,D
6087,Drift og vedligeholdelse mv. (hvidpladebiler),,D
6088,"Broafgift m/moms, hvidpladebiler (Øresund)",I25,D
6100,Broafgift,I25,D
6101,Fradrag erhvervsmæssig kørsel efter statens takster,,D
6102,Fri bil / privat andel biludgifter,,D
6120,Taxa,,D
6140,Tog,,D
6160,Fly,,D
6180,Bus,,D
6200,Færge,I25,D
6400,Diverse transportomkostninger uden moms,,D
7000,Advokat og revisor,I25,D
7001,Regulering skyldig revisor,,D
7003,Advokat,I25,D
7020,Bogføringsassistance,I25,D
7021,"Regulering, revisor mv.",I25,D
7040,Konsulentbistand,I25,D
7060,Kontingenter inkl. moms,I25,D
7080,Kontingenter ekskl. moms,,D
7090,Kontingent vedrørende virksomhed og fradrag for syge- og arbejdsskadeforsikringer,,D
7100,Aviser,,D
7120,Faglitteratur,I25,D
7140,Anden litteratur,I25,D
7160,Erhvervsforsikringer,,D
7161,Øvrige sikringsudgifter,,D
7162,Øvrige sikringsudgifter,,D
7180,Fragt og kørsel,I25,D
7181,Fragto.a. forsendelsesomkostninger u/moms,,D
7182,Fragto.a. forsendelsesomkostninger mv. EU,IEUY,D
7183,Fragto.a. forsendelsesomkostninger mv. 3. lande,IVY,D
7200,Kontorartikler og tryksager,I25,D
7201,Kontorartikler og tryksager u/momsfradrag,,D
7220,Porto og gebyrer,,D
7221,Bankgebyr,,D
7225,Abonnementer,,D
7240,Telefoni,I25,D
7241,Telefon u. moms,,D
7260,Beskatning af fri telefoni,,D
7280,Regnskabsprogram,I25,D
7300,Internet og webhotel,I25,D
7301,Internet og webhotel u. moms,,D
7320,Køb af software,I25,D
7321,"Edb-udgifter / software, EU (reverse charge)",IEUY,D
7322,"Edb-udgifter / software, 3. lande  (reverse charge)",IVY,D
7323,"Edb-udgifter / software, uden momsfradrag",,D
7340,Konstateret tab på debitorer,U25,D
7360,Offentlige bøder og gebyrer,,D
7361,Bankgebyrer,,D
7380,Registrerede kassedifferencer,,D
7400,Betalingsløsning,I25,D
7420,Indløsere,,D
7440,Licens,,D
7460,Diverse inkl. moms,I25,D
7480,Diverse ekskl. moms,,D
7490,Modkonto ej fradragsberettigede omkostninger,,D
7601,Gebyrer skat u/skattemæssigt fradrag,,D
8000,"Immaterielle anlægsaktiver, afskrivninger",,D
8020,"Materielle anlægsaktiver, afskrivninger",,D
8021,"Afskrivning, blandet benyttet bil",,D
8040,Småanskaffelser (straksafskrivning),I25,D
8041,Småanskaffelser u. moms (straksafskrivning),,D
8050,Småanskaffelser med omvendt betalingspligt,OBPK,D
8060,Avance ved salg anlægsaktiver,,D
8061,Tab ved salg anlægsaktiver,,D
8071,Øvrige driftsindtægter mv.,U25,D
8072,Øvrige driftsindtægter mv. u/moms,,D
9000,Bankrenter (indtægt),,D
9010,Renteindtægter diverse,,D
9020,"Udlodninger fra investeringsselskaber og obligationsbaserede investeringsbeviser (indeholdt udbytteskat)
",,D
9200,Bankrenter (omkostning),,D
9210,Leverandører mv.,,D
9220,Ikke-fradragsberettigede renter,,D
9221,Rykkergebyrer,,D
9222,"Inkasso, debitorer",I25,D
9223,Gebyrer skat u/skattemæssigt fradrag,,D
9226,Øvrige renteomkostninger,,D
9335,"Renteomkostninger, SKAT, uden fradrag",,D
9336,"Renteomkostninger, SKAT, med fradrag",,D
9340,Modkonto renter uden fradrag,,D
9499,RESULTAT,,SUM
49999,AKTIVER,,Overskrift
50000,Immaterielle anlægsaktiver primo,,A
50020,"Immaterielle, tilgang i året",I25,A
50040,"Immaterielle, afgang i året",,A
50060,"Immaterielle, årets afskrivninger",,A
50100,"Goodwill, primo",,A
50120,"Goodwill, tilgang i året",I25,A
50140,"Goodwill, afgang i året",,A
50160,"Goodwill, årets afskrivninger",,A
50500,"Grunde og bygninger, anskaffelse primo",,A
50520,"Grunde og bygninger, årets tilgang",,A
50540,"Grunde og bygninger, årets afgang",,A
50550,"Grunde og bygninger, afskrivning primo",,A
50560,"Grunde og bygninger, årets afskrivninger",,A
51000,Driftsmiddel saldo primo,,A
51020,"Driftsmiddel, tilgang i året",I25,A
51040,"Driftsmiddel, afgang i året",,A
51060,"Driftsmiddel, årets afskrivninger",,A
51100,Blandet benyttede biler saldo primo,,A
51120,"Blandet benyttede biler, tilgang i året",I25,A
51140,"Blandet benyttede biler, afgang i året",,A
51160,"Blandet benyttede biler, årets afskrivninger",,A
51500,Værdipapirer og kapitalandele,,A
52000,Varebeholdning,,A
52020,Nedskrivning,,A
52030,Besætninger,,A
52031,Nedskrivning besætninger,,A
52032,Kornbeholdning,,A
52034,Olie- og gasbeholdning,,A
52036,Gødning og kemikaliebeholdning,,A
53000,"Debitorer, ubetalte fakturaer",,A
53020,Hensat til tab på debitorer,,A
54000,Deposita,,A
54001,Deposita m/moms,I25,A
54020,Igangværende arbejder,,A
54035,Tilgodehavende moms,,A
54040,Øvrige tilgodehavender,,A
54060,Periodeafgrænsningsposter,,A
55000,Bank,,A
55040,Kontanter (kasse),,A
55999,AKTIVER I ALT,,SUM
59999,EGENKAPITAL,,Overskrift
60100,Egenkapitalkonto primo,,P
60101,Periodens resultat,,P
60120,Mellemregning,,P
60140,Hævet kontant i virksomheden,,P
60160,Indskudt kontant i virksomheden,,P
60180,B-skat,,P
60197,Ratepension,,P
60200,Ikke fradragsberettigede udgifter,,P
60201,Kapitalbevægelser,,P
60301,Fri telefon,,P
60302,Fri bil,,P
60303,Privat andel af biludgifter (blandet benyttelse),,P
60304,Eget vareforbrug,,P
60305,Andre private andele,,P
60306,Udgifter papegøjeplader (momsfradrag),I25,P
60899,EGENKAPITAL I ALT,,SUM
60999,HENSATTE FORPLIGTELSER,,Overskrift
61000,Hensat til erstatninger,,H
61029,HENSATTE FORPLIGTELSER I ALT,,SUM
61030,GÆLDSFORPLIGTELSER,,Overskrift
61040,Hensat feriepengeforpligtelse,,P
62000,Banklån,,P
63000,"Kreditorer, ubetalte regninger",,P
63020,"Kreditorer, efterposteringer",,P
63040,Afsat revisor,,P
63080,Gavekort,,P
63100,Udlæg ansatte,,P
63101,Udlæg øvrige,,P
64000,Salgsmoms (udgående moms),,P
64001,"Skyldig moms, primo",,P
64020,Moms af varer fra udlandet,,P
64040,Moms af ydelser fra udlandet,,P
64060,Købsmoms (indgående moms),,P
64080,EL-afgift,,P
64085,Gasafgift,,P
64090,Vandafgift,,P
64095,Omposteret til tilgodehavende moms,,P
64100,Momsafregning,,P
65000,Skyldig AM-bidrag,,P
65020,Skyldig A-skat,,P
65040,Skyldig ATP,,P
65045,Skyldig sociale bidrag,,P
65060,Skyldige feriepenge,,P
65080,Skyldig pension,,P
65100,Skyldig løn,,P
65120,Andre skyldige lønposter,,P
65130,Skattekonto,,P
65131,Anden gæld,,P
65140,Vendekonto bank,,P
65141,Vendekonto 2,,P
65142,Vendekonto skattekonto,,P
7999,GÆLDSFORPLIGTELSER I ALT,,SUM
8999,PASSIVER I ALT,,SUM
99999,Analysekonto,,P
